fecha_dato,fuente,pais,continente,categoria,valor,unidad,calificador,contexto_txt,fuente_txt,publicable
2026-09-21,fip,MARRUECOS,África,pistas,100.0,pistas,mas_de,13% de los aficionados de África,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,MEXICO,América,jugadores,1000000.0,jugadores,mas_de,13% de los aficionados del continente americano,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,NORUEGA,Europa,pistas,600.0,pistas,exacto,En fase de consolidación en 2024,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,OCEANIA,Oceanía,pct_clubes_mundial,0.1,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,OCEANIA,Oceanía,pct_pistas_mundial,0.1,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,OCEANIA,Oceanía,crecimiento_pistas_18m_pct,120.0,pct,exacto,+60 pistas,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,PAISES_BAJOS,Europa,pistas,3500.0,pistas,mas_de,Dato de mediados de 2025,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,PANAMA,América,pistas,200.0,pistas,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,PORTUGAL,Europa,pistas,1560.0,pistas,exacto,3er país en aficionados de Europa tras España e Italia; aficionados +8%,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,REINO_UNIDO,Europa,pistas,1000.0,pistas,mas_de,Hito alcanzado a mediados de julio 2025; crecimiento medio anual reciente ~130%,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,REPUBLICA_DOMINICANA,América,pistas,100.0,pistas,mas_de,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,SUDAFRICA,África,pistas,1200.0,pistas,mas_de,~390 instalaciones; 28% de los aficionados de África (16% en 2024),FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,SUDAMERICA,América del Sur,pct_clubes_mundial,21.5,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,SUDAMERICA,América del Sur,pct_pistas_mundial,18.3,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,SUDAMERICA,América del Sur,crecimiento_pistas_18m_pct,10.0,pct,exacto,+1.297 pistas,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,TUNEZ,África,pistas,100.0,pistas,mas_de,12% de los aficionados de África,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,VENEZUELA,América,pistas,300.0,pistas,mas_de,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,playtomic,ALEMANIA,,,,,,Conversión rápida de clubes de tenis a pádel,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,ARGENTINA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,AUSTRALIA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,BELGICA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,BRASIL,,,,,,"Junto con México, motor de las nuevas pistas en Latinoamérica en 2025","Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,CHILE,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,ESPAÑA,,,,,,Mayor base instalada del mundo en términos absolutos,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,ESTADOS_UNIDOS,,,,,,"Demanda concentrada en Florida, Texas, California y costa este; posicionamiento premium","Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,FINLANDIA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,FRANCIA,,,,,,Mayor cuota de pistas nuevas en 2025 de todo el mundo,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,GLOBAL,,,,,,"58.334 pistas mundiales en 2025 (+7.898 nuevas, +16% interanual); +4.969 clubes nuevos; ~6x el número de pistas desde 2016","Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,INDIA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,INDONESIA,,,,,,"~800 pistas nuevas en 2025, impulsadas por grandes centros metropolitanos y resorts","Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,IRLANDA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,ITALIA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,PAISES_BAJOS,,,,,,Mercado post punto de inflexión; ya no es un mercado de solo construir pistas nuevas,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,POLONIA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,PORTUGAL,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,REINO_UNIDO,,,,,,Ocupación media ~85% en hora punta; ~50% de jugadores dice que cuesta encontrar pista en hora punta,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,SUDAFRICA,,,,,,Clasificación reciente; todavía construyendo hacia estos niveles de penetración,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,SUECIA,,,,,,Fase de corrección profunda tras el boom de 2020; consolidación y cierre de clubes,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
2026-09-21,playtomic,SUIZA,,,,,,,"Playtomic Global Padel Report 2026 (con Strategy&, PwC) · elaboración propia",True
